longitude,latitude,time
42.4421,-76.487312,13:57:06
42.442086,-76.487275,13:57:07
42.442019,-76.487104,13:57:11
42.441937,-76.48696,13:57:15
42.441901,-76.486921,13:57:16
42.441779,-76.486807,13:57:19
42.441746,-76.486772,13:57:20
42.441682,-76.486704,13:57:22
42.441654,-76.486672,13:57:23
42.441629,-76.486637,13:57:24
42.441602,-76.486604,13:57:25
42.441576,-76.486569,13:57:26
42.44155,-76.486493,13:57:28
42.441548,-76.486458,13:57:29
42.441564,-76.486338,13:57:32
42.441567,-76.486294,13:57:33
42.441567,-76.486065,13:57:38
42.441607,-76.485844,13:57:43
42.441626,-76.48581,13:57:44
42.441548,-76.485682,13:57:47
42.441541,-76.485643,13:57:48
42.441541,-76.485603,13:57:49
42.441543,-76.485568,13:57:50
42.441544,-76.48554,13:57:51
42.441546,-76.485521,13:57:53
42.441564,-76.485482,13:57:57
42.441569,-76.485462,13:57:58
42.441571,-76.48544,13:57:59
42.441572,-76.485418,13:58:00
42.44156,-76.485378,13:58:03
42.441554,-76.485353,13:58:04
42.441554,-76.485231,13:58:08
42.441555,-76.485199,13:58:09
42.441564,-76.485138,13:58:11
42.441584,-76.485025,13:58:14
42.441588,-76.484981,13:58:15
42.441594,-76.484939,13:58:16
42.4416,-76.484857,13:58:18
42.441613,-76.484802,13:58:19
42.441625,-76.484694,13:58:21
42.441702,-76.484544,13:58:24
42.441639,-76.484312,13:58:28
42.44162,-76.484256,13:58:29
42.441579,-76.484024,13:58:33
42.44155,-76.483915,13:58:35
42.441535,-76.483797,13:58:37
42.441504,-76.483648,13:58:40
42.441469,-76.483576,13:58:42
42.441457,-76.483539,13:58:43
42.441435,-76.48346,13:58:45
42.441404,-76.483372,13:58:47
42.441375,-76.48325,13:58:50
42.441368,-76.483206,13:58:51
42.441358,-76.483073,13:58:54
42.441352,-76.483023,13:58:55
42.441334,-76.482881,13:58:58
42.441332,-76.482831,13:58:59
42.441297,-76.482599,13:59:04
42.441289,-76.482554,13:59:05
42.441251,-76.482425,13:59:08
42.441214,-76.482293,13:59:11
42.441187,-76.482163,13:59:14
42.441128,-76.48199,13:59:18
42.441121,-76.481939,13:59:19
42.441073,-76.481705,13:59:24
42.441062,-76.48166,13:59:25
42.441041,-76.481425,13:59:30
42.441037,-76.481377,13:59:31
42.441035,-76.481281,13:59:33
42.441038,-76.481235,13:59:34
42.441047,-76.481042,13:59:38
42.441049,-76.481001,13:59:39
42.44105,-76.480823,13:59:43
42.441065,-76.480646,13:59:47
42.441062,-76.480419,13:59:52
42.441058,-76.480369,13:59:53
42.441058,-76.480123,13:59:58
42.441058,-76.479986,14:00:01
42.441065,-76.47989,14:00:03
42.441068,-76.479642,14:00:08
42.441069,-76.479596,14:00:09
42.441072,-76.479299,14:00:15
42.441074,-76.479247,14:00:16
42.441081,-76.479106,14:00:19
42.441088,-76.478811,14:00:25
42.44109,-76.47876,14:00:26
42.441105,-76.478518,14:00:31
42.441108,-76.478418,14:00:33
42.441101,-76.478324,14:00:35
42.441099,-76.478113,14:00:41
42.4411,-76.47799,14:00:47
42.441101,-76.477961,14:00:49
42.441096,-76.477939,14:00:54
42.441097,-76.477934,14:01:00
42.441096,-76.477934,14:01:05
42.441096,-76.477934,14:01:08
42.441096,-76.477933,14:01:13
42.441089,-76.477837,14:01:16
42.441102,-76.477596,14:01:21
42.441107,-76.477534,14:01:22
42.441119,-76.477352,14:01:25
42.441129,-76.477224,14:01:27
42.441134,-76.476823,14:01:33
42.441144,-76.476758,14:01:34
42.441157,-76.476359,14:01:40
42.441162,-76.47623,14:01:42
42.441188,-76.475994,14:01:46
42.441198,-76.47584,14:01:49
42.441199,-76.475789,14:01:50
42.4412,-76.475641,14:01:53
42.441212,-76.475485,14:01:56
42.441208,-76.475433,14:01:57
42.441209,-76.475284,14:02:00
42.441216,-76.475233,14:02:01
42.441234,-76.475033,14:02:05
42.441243,-76.474931,14:02:07
42.441265,-76.474721,14:02:11
42.441269,-76.474673,14:02:12
42.441279,-76.474538,14:02:15
42.441299,-76.474404,14:02:18
42.441306,-76.474357,14:02:19
42.441304,-76.474223,14:02:22
42.441299,-76.474056,14:02:26
42.441301,-76.474012,14:02:27
42.441301,-76.473969,14:02:28
42.441302,-76.473836,14:02:31
42.441311,-76.473707,14:02:34
42.441316,-76.473622,14:02:36
42.441318,-76.473441,14:02:40
42.441313,-76.473255,14:02:44
42.441316,-76.473069,14:02:48
42.441319,-76.472935,14:02:51
42.441322,-76.47284,14:02:53
42.441323,-76.472659,14:02:57
42.441322,-76.472469,14:03:01
42.441323,-76.472364,14:03:03
42.441329,-76.472008,14:03:10
42.441327,-76.471903,14:03:12
42.441321,-76.471585,14:03:18
42.441319,-76.471478,14:03:20
42.441311,-76.471252,14:03:24
42.441307,-76.471078,14:03:27
42.441292,-76.470969,14:03:29
42.441204,-76.470529,14:03:38
42.44117,-76.470338,14:03:43
42.441174,-76.470288,14:03:45
42.441185,-76.470271,14:03:47
42.441186,-76.470267,14:03:51
42.441193,-76.470269,14:05:28
42.441223,-76.470254,14:05:32
42.441251,-76.470242,14:05:33
42.441413,-76.470208,14:05:37
42.441462,-76.470202,14:05:38
42.441627,-76.470184,14:05:41
42.441687,-76.470176,14:05:42
42.441745,-76.470168,14:05:43
42.441865,-76.47015,14:05:45
42.441978,-76.470118,14:05:47
42.442091,-76.470085,14:05:49
42.442146,-76.470076,14:05:50
42.442195,-76.470068,14:05:51
42.442287,-76.470045,14:05:53
42.442414,-76.470012,14:05:56
42.442475,-76.470005,14:05:58
42.44253,-76.469977,14:06:00
42.442558,-76.469943,14:06:01
42.442587,-76.469895,14:06:02
42.442607,-76.469837,14:06:03
42.442613,-76.469774,14:06:04
42.442603,-76.469639,14:06:06
42.442587,-76.469571,14:06:07
42.442566,-76.469502,14:06:08
42.442454,-76.469105,14:06:13
42.442337,-76.468689,14:06:18
42.442291,-76.468539,14:06:20
42.442204,-76.468238,14:06:25
42.442122,-76.467851,14:06:31
42.442111,-76.467786,14:06:32
42.442062,-76.467576,14:06:35
42.442026,-76.467426,14:06:37
42.44201,-76.467344,14:06:38
42.441935,-76.466838,14:06:44
42.441924,-76.466751,14:06:45
42.441882,-76.466402,14:06:49
42.441865,-76.466226,14:06:51
42.441828,-76.465694,14:06:57
42.441807,-76.465433,14:07:00
42.441777,-76.465003,14:07:05
42.441761,-76.464748,14:07:08
42.441704,-76.46401,14:07:17
42.44169,-76.463748,14:07:20
42.441671,-76.463507,14:07:23
42.441632,-76.462917,14:07:30
42.441605,-76.462589,14:07:34
42.441586,-76.462253,14:07:38
42.441569,-76.462008,14:07:41
42.441539,-76.461608,14:07:46
42.441508,-76.461146,14:07:52
42.441498,-76.460995,14:07:54
42.441503,-76.460595,14:07:59
42.4415,-76.460279,14:08:03
42.441506,-76.459963,14:08:07
42.441506,-76.459646,14:08:11
42.441513,-76.459561,14:08:12
42.441518,-76.459159,14:08:17
42.441526,-76.458763,14:08:22
42.441529,-76.458446,14:08:26
42.441522,-76.458211,14:08:29
42.441523,-76.457896,14:08:33
42.441516,-76.457587,14:08:37
42.441515,-76.457509,14:08:38
42.441517,-76.45681,14:08:47
42.441517,-76.456738,14:08:48
42.441522,-76.456244,14:08:54
42.441523,-76.455992,14:08:57
42.441533,-76.455754,14:09:00
42.441535,-76.455517,14:09:03
42.441528,-76.454892,14:09:11
42.441528,-76.454517,14:09:16
42.441533,-76.454367,14:09:18
42.441529,-76.453988,14:09:23
42.441534,-76.453914,14:09:24
42.441531,-76.453838,14:09:25
42.441527,-76.453689,14:09:27
42.441533,-76.45337,14:09:31
42.441535,-76.453309,14:09:32
42.441537,-76.452856,14:09:38
42.441538,-76.45278,14:09:39
42.441533,-76.452419,14:09:44
42.441539,-76.45227,14:09:46
42.441525,-76.45184,14:09:52
42.441521,-76.451766,14:09:53
42.441516,-76.45169,14:09:54
42.441511,-76.451367,14:09:58
42.441503,-76.451055,14:10:02
42.441499,-76.450904,14:10:04
42.4415,-76.450832,14:10:05
42.441515,-76.450437,14:10:10
42.441521,-76.450113,14:10:14
42.441525,-76.44969,14:10:19
42.441527,-76.449625,14:10:20
42.441531,-76.449192,14:10:26
42.441518,-76.44889,14:10:32
42.441521,-76.448853,14:10:33
42.441568,-76.448735,14:10:36
42.441613,-76.448718,14:10:37
42.441709,-76.448701,14:10:39
42.441862,-76.448719,14:10:42
42.442265,-76.448732,14:10:49
42.442792,-76.448767,14:10:57
42.443383,-76.448818,14:11:06
42.443441,-76.448822,14:11:07
42.443557,-76.448828,14:11:09
42.443674,-76.448834,14:11:11
42.443745,-76.448842,14:11:12
42.443854,-76.448847,14:11:14
42.444151,-76.44886,14:11:19
42.444499,-76.448887,14:11:24
42.445002,-76.44892,14:11:32
42.445335,-76.448938,14:11:37
42.445599,-76.448942,14:11:41
42.445665,-76.448941,14:11:42
42.44612,-76.448955,14:11:49
42.446388,-76.448974,14:11:53
42.446968,-76.449012,14:12:01
42.447441,-76.449054,14:12:07
42.447529,-76.449066,14:12:08
42.448118,-76.449128,14:12:15
42.448465,-76.449161,14:12:19
42.448714,-76.449188,14:12:22
42.448794,-76.449193,14:12:23
42.449114,-76.449217,14:12:27
42.449272,-76.449233,14:12:29
42.449431,-76.449248,14:12:31
42.449964,-76.449296,14:12:38
42.450544,-76.449334,14:12:46
42.450811,-76.449376,14:12:51
42.45091,-76.449384,14:12:53
42.451004,-76.44932,14:12:55
42.451065,-76.449175,14:12:57
42.451127,-76.449003,14:12:59
42.4512,-76.44883,14:13:01
42.451316,-76.448561,14:13:04
42.451397,-76.448394,14:13:06
42.451692,-76.447772,14:13:13
42.451731,-76.447676,14:13:14
42.45185,-76.447403,14:13:17
42.451975,-76.447132,14:13:20
42.452053,-76.446959,14:13:22
42.452096,-76.446871,14:13:23
42.452427,-76.446194,14:13:30
42.452459,-76.446126,14:13:31
42.452536,-76.445975,14:13:33
42.452594,-76.445848,14:13:35
42.45262,-76.44579,14:13:36
42.4527,-76.445604,14:13:39
42.452721,-76.445554,14:13:40
42.452753,-76.44547,14:13:41
42.452806,-76.445346,14:13:43
42.452875,-76.445165,14:13:45
42.452907,-76.445083,14:13:46
42.452944,-76.444987,14:13:47
42.453005,-76.44484,14:13:49
42.453104,-76.444587,14:13:52
42.453149,-76.444411,14:13:54
42.453173,-76.444321,14:13:55
42.453325,-76.443785,14:14:00
42.453347,-76.443705,14:14:01
42.453461,-76.443304,14:14:05
42.45352,-76.443099,14:14:07
42.453572,-76.442901,14:14:09
42.453631,-76.442611,14:14:12
42.453707,-76.442323,14:14:15
42.453733,-76.442227,14:14:16
42.453864,-76.441751,14:14:21
42.453945,-76.441489,14:14:24
42.454007,-76.441312,14:14:26
